shap_0,shap_1,shap_2,shap_3,shap_4,shap_5,shap_6,shap_7,shap_8,shap_9,shap_10,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10
0.03747104791813942,0.19130706634044972,-0.02009688513277622,-0.02955643163662946,0.0008446600338134284,0.27063115964162293,0.0,0.0,0.0015597827992713809,0.005405928820486026,0.18729769703862187,0.6666667,0.5892,0.043833334,1.5384616,1.1,0.0,0.0,0.0,1.7411765,0.036066666,0.0
-0.09580433104906286,-0.09209806829791092,-0.016692232283623813,0.003725825566491518,0.0015083170106262572,0.06322988297734702,0.0,0.0,-0.0006072409020710101,0.0024589631567898808,-0.046257781166325423,0.08888889,0.0,0.014466667,0.23076923,0.7,0.0,0.0,0.0,1.8176471,0.0909,1.3333334
-0.0702071023441333,0.6855740493067889,0.04124087150731973,0.0024823476319432865,0.0014735278812864072,-0.0373494029621481,0.0,0.0,0.0031927422061539044,-0.00810275019333737,0.004984411101198405,0.044444446,2.0,0.5984667,0.84615386,1.3,1.3333334,0.0,0.0,0.9470588,0.6521,0.6666667
-0.04367843809372574,0.7463886614589883,-0.0020341417999234614,0.008373740834244294,2.1607559034686474e-05,0.01909540897980216,0.0,0.0,0.0024523798715456622,0.0032950238224821213,-0.007700486317810571,0.31111112,2.0,0.20096667,0.30769232,1.4,0.6666667,0.0,0.0,1.2588235,0.19133334,1.3333334
-0.054012688081076454,-0.05280914488387474,-0.012249305970308334,0.0009990764865414614,-0.0054796176507068825,-0.019798685261665977,0.0,0.0,-0.0017378738199468084,-0.007485459695940299,-0.027964667635513585,0.0,0.1856,0.021533333,0.025641026,1.7,1.3333334,0.0,0.0,1.7882353,2.0,1.3333334
0.0033540445653346897,-0.0736106740589333,-0.03150891179248681,-0.0008022441795839386,-0.0037875115917019504,-0.0689332175667801,0.0,0.0,0.0004580104278099628,0.0007165841453651649,-0.006053585023856092,0.93333334,0.0924,0.007033333,1.1025641,1.3,1.3333334,0.0,0.0,1.6882353,0.0019,0.6666667
-0.06194324743875477,-0.05500946363741992,-0.030306916294192836,-0.0015248882637432038,-0.007035318426991302,-0.07606454318625144,0.0,0.0,-0.004502857856116236,0.0008313869271519836,0.05591698906512615,0.62222224,0.1818,0.021566667,1.1282052,1.6,1.3333334,0.0,0.0,1.8470588,0.10846667,0.0
-0.11835326400516426,-0.08135127719738763,-0.022682670693730936,-0.010754869324268234,-0.0021712841489961413,0.014637926027027655,0.0,0.0,-0.006464671860373968,0.0012139775138996223,0.045436860429939885,0.22222222,0.0254,0.004466667,1.6923077,1.5,0.6666667,0.0,0.0,1.9588236,0.0044,0.0
-0.04429243002960425,-0.07723018859438295,-0.01054711260059786,0.0013835275156777683,0.003772799032877809,-0.020494419255322954,0.0,0.0,-0.0017279818770848771,-0.0005440240043775302,-0.0308590580344317,0.26666668,0.0,0.012633333,0.33333334,0.5,1.3333334,0.0,0.0,1.7764705,0.0252,1.3333334
-0.054359711521037246,-0.08174681728547567,-0.01532116445917628,-0.000657497102569316,0.003008215542802324,-0.02954412614063123,0.0,0.0,0.0002618038260630007,0.0007256557753759434,-0.002901724063619287,0.44444445,0.0,0.0021,0.94871795,0.8,1.3333334,0.0,0.0,1.6529412,0.049533334,0.6666667
-0.03895448740142908,-0.0867859373795723,-0.019217252944272303,0.002698810375611074,0.0028221356093510006,-0.03418837187699197,0.0,0.0,-0.0034435257852980777,-0.0008476398525916473,-0.0026098843086938338,0.6666667,0.0,0.014766667,0.6923077,0.6,1.3333334,0.0,0.0,1.8470588,0.0077,0.6666667
0.06477026324633531,-0.1269367355194012,0.3230573763742915,0.01876523387020342,-0.0014592029598097494,-0.12482551569280417,0.0,0.0,-0.006605576774967093,-0.003485455907961954,0.003140095276132868,0.84444445,0.0,2.0,0.53846157,0.1,1.3333334,0.0,0.0,1.8058823,0.0032333334,0.6666667
-0.059477552789731464,-0.08647833356497021,0.021240844120797065,0.003131653431702717,0.0015814791813884817,-0.02574585158493809,0.0,0.0,-0.00020783270978333435,0.0011370164515216517,-0.03571806196396922,0.31111112,0.0,0.6663333,0.71794873,1.0,1.3333334,0.0,0.0,1.7235295,0.014733333,1.3333334
0.19491579240625898,-0.09979069118399023,-0.027066254459265766,0.00912090455576648,0.009050142285888034,-0.28999095788964047,0.0,0.0,0.011108916737012232,-0.003448841228017599,0.09486146708550254,1.3777778,0.0,0.03973333,0.71794873,0.2,2.0,0.0,0.0,1.6294118,0.0399,0.0
-0.02878852174272302,-0.08032651697893894,-0.009134025672551943,-0.0021891739022835343,-0.006836381349073019,-0.022326377710722902,0.0,0.0,0.004379528063741339,-0.0054633901212854845,-0.029844573057619967,0.5777778,0.0,0.09836667,1.2564102,2.0,1.3333334,0.0,0.0,1.5705882,2.0,1.3333334
-0.0442321929498327,-0.07351948064875215,-0.01069684191452521,-0.003265433223809216,-0.0012947869035313756,-0.01947687183617918,0.0,0.0,-0.0010054318108431823,0.0007340228828587037,-0.02778181422273937,0.17777778,0.0,0.022633333,1.3333334,1.4,1.3333334,0.0,0.0,1.7882353,0.049433332,1.3333334
-0.061052952743461196,-0.07041087475063006,-0.015049928665691607,-0.00033384797246428083,-0.0017528300301045052,-0.027752132172904197,0.0,0.0,-3.096839850522115e-05,-0.00013250560793925134,-0.0040177912205697,0.35555556,0.1136,0.0047333334,0.974359,1.4,1.3333334,0.0,0.0,1.7411765,0.009466667,0.6666667
-0.05757181971718369,-0.08088207625865482,-0.014919857156430844,0.0010410830225380389,0.0020234904882333177,-0.028461163975881793,0.0,0.0,-0.0001236811838983276,0.0004973482408199638,-0.002140438412054193,0.35555556,0.0,0.0112,0.74358976,0.7,1.3333334,0.0,0.0,1.7529411,0.07506666,0.6666667
-0.05261716547530297,-0.09198587430774889,-0.014496207053727428,0.006050323325732962,5.6859783386431495e-05,0.06740491478525588,0.0,0.0,0.000719500188440556,-6.173484055267525e-05,-0.09560450209223835,0.53333336,0.0,0.0015666666,0.102564104,0.3,0.0,0.0,0.0,1.7352941,0.007766667,2.0
